Block	Cultivar	SowTreat	SowingD	Plot	Depth	Date	Round	InitialSeedlotR1Number	SeedNumber	Soft	SoftGerm	SoftUngerm	SoftAbn	SoftDead	HardUngermFinal
3	Leura	S1	24/06/2015	18	down	3/06/2016	4	50	28	1	1	0	0	0	0
1	Narrikup	S2	28/07/2015	19	up	20/06/2016	3	50	26	1	1	0	0	0	0
1	Monti	S2	28/07/2015	20	up	20/06/2016	3	50	48	4	4	0	0	0	0
1	Woogenellup	S2	28/07/2015	21	up	20/06/2016	3	50	39	2	2	0	0	0	0
1	Leura	S2	28/07/2015	22	up	20/06/2016	3	50	43	0	0	0	0	0	0
1	Denmark	S2	28/07/2015	23	up	20/06/2016	3	50	27	0	0	0	0	0	0
1	Antas 	S2	28/07/2015	24	up	20/06/2016	3	50	33	1	0	1	0	0	0
2	Leura	S2	28/07/2015	25	up	20/06/2016	3	50	25	0	0	0	0	0	0
2	Woogenellup	S2	28/07/2015	26	up	20/06/2016	3	50	24	1	0	0	1	0	0
2	Denmark	S2	28/07/2015	27	up	20/06/2016	3	50	38	2	0	2	0	0	0
2	Narrikup	S2	28/07/2015	28	up	20/06/2016	3	50	29	6	6	0	0	0	0
2	Antas 	S2	28/07/2015	29	up	20/06/2016	3	50	10	1	1	0	0	0	0
2	Monti	S2	28/07/2015	30	up	20/06/2016	3	50	41	6	6	0	0	0	0
3	Denmark	S2	28/07/2015	31	up	20/06/2016	3	50	42	2	1	1	0	0	0
3	Antas 	S2	28/07/2015	32	up	20/06/2016	3	50	34	2	1	1	0	0	0
3	Monti	S2	28/07/2015	33	up	20/06/2016	3	50	40	1	1	0	0	0	0
3	Woogenellup	S2	28/07/2015	34	up	20/06/2016	3	50	20	0	0	0	0	0	0
3	Leura	S2	28/07/2015	35	up	20/06/2016	3	50	36	0	0	0	0	0	0
3	Narrikup	S2	28/07/2015	36	up	20/06/2016	3	50	13	2	2	0	0	0	0
1	Narrikup	S2	28/07/2015	19	down	20/06/2016	3	50	31	1	1	0	0	0	0
1	Monti	S2	28/07/2015	20	down	20/06/2016	3	50	39	3	3	0	0	0	0
1	Woogenellup	S2	28/07/2015	21	down	20/06/2016	3	50	39	1	1	0	0	0	0
1	Leura	S2	28/07/2015	22	down	20/06/2016	3	50	43	1	1	0	0	0	0
1	Denmark	S2	28/07/2015	23	down	20/06/2016	3	50	31	1	1	0	0	0	0
1	Antas 	S2	28/07/2015	24	down	20/06/2016	3	50	28	1	1	0	0	0	0
2	Leura	S2	28/07/2015	25	down	20/06/2016	3	50	22	1	1	0	0	0	0
2	Woogenellup	S2	28/07/2015	26	down	20/06/2016	3	50	36	0	0	0	0	0	0
2	Denmark	S2	28/07/2015	27	down	20/06/2016	3	50	32	1	1	0	0	0	0
2	Narrikup	S2	28/07/2015	28	down	20/06/2016	3	50	28	1	0	1	0	0	0
