Block	Cultivar	SowTreat	SowingD	Plot	Depth	Date	Round	InitialSeedlotR1Number	SeedNumber	Soft
3	Monti	S2	28/07/2015	33	Below	20/06/2016	56	50	40	5
3	Woogenellup	S2	28/07/2015	34	Below	20/06/2016	56	50	7	0
3	Leura	S2	28/07/2015	35	Below	20/06/2016	56	50	32	2
3	Narrikup	S2	28/07/2015	36	Below	20/06/2016	56	50	14	1
1	Antas 	S1	24/06/2015	1	Above	25/06/2016	98	50	32	3
1	Monti	S1	24/06/2015	2	Above	25/06/2016	98	50	34	3
1	Denmark	S1	24/06/2015	3	Above	25/06/2016	98	50	32	1
1	Leura	S1	24/06/2015	4	Above	25/06/2016	98	50	37	0
1	Narrikup	S1	24/06/2015	5	Above	25/06/2016	98	50	40	0
1	Woogenellup	S1	24/06/2015	6	Above	25/06/2016	98	50	30	1
2	Antas 	S1	24/06/2015	7	Above	25/06/2016	98	50	39	3
2	Woogenellup	S1	24/06/2015	8	Above	25/06/2016	98	50	35	1
2	Denmark	S1	24/06/2015	9	Above	25/06/2016	98	50	37	3
2	Monti	S1	24/06/2015	10	Above	25/06/2016	98	50	37	3
2	Narrikup	S1	24/06/2015	11	Above	25/06/2016	98	50	32	2
2	Leura	S1	24/06/2015	12	Above	25/06/2016	98	50	33	1
3	Woogenellup	S1	24/06/2015	13	Above	25/06/2016	98	50	38	3
3	Antas 	S1	24/06/2015	14	Above	25/06/2016	98	50	41	1
3	Monti	S1	24/06/2015	15	Above	25/06/2016	98	50	35	8
3	Narrikup	S1	24/06/2015	16	Above	25/06/2016	98	50	41	3
3	Denmark	S1	24/06/2015	17	Above	25/06/2016	98	50	37	2
3	Leura	S1	24/06/2015	18	Above	25/06/2016	98	50	22	0
1	Antas 	S1	24/06/2015	1	Below	25/06/2016	98	24	14	2
1	Monti	S1	24/06/2015	2	Below	25/06/2016	98	50	37	4
1	Denmark	S1	24/06/2015	3	Below	25/06/2016	98	50	25	0
1	Leura	S1	24/06/2015	4	Below	25/06/2016	98	50	23	0
1	Narrikup	S1	24/06/2015	5	Below	25/06/2016	98	50	36	1
1	Woogenellup	S1	24/06/2015	6	Below	25/06/2016	98	50	31	0
2	Antas 	S1	24/06/2015	7	Below	25/06/2016	98	50	36	2
2	Woogenellup	S1	24/06/2015	8	Below	25/06/2016	98	50	35	0
2	Denmark	S1	24/06/2015	9	Below	25/06/2016	98	50	38	3
2	Monti	S1	24/06/2015	10	Below	25/06/2016	98	50	35	5
