date	hour	Air
6/08/2015	5	2.477
6/08/2015	6	1.317
6/08/2015	7	0.495
6/08/2015	8	0.55
6/08/2015	9	1.317
6/08/2015	10	3.643
6/08/2015	11	5.257
6/08/2015	12	8.99
6/08/2015	13	10.222
6/08/2015	14	11.637
6/08/2015	15	12.582
6/08/2015	16	12.389
6/08/2015	17	10.663
6/08/2015	18	7.544
6/08/2015	19	6.281
6/08/2015	20	5.975
6/08/2015	21	6.23
6/08/2015	22	6.102
6/08/2015	23	7.895
7/08/2015	0	8.145
7/08/2015	1	7.745
7/08/2015	2	8.045
7/08/2015	3	5.745
7/08/2015	4	5.591
7/08/2015	5	5.179
7/08/2015	6	5.668
7/08/2015	7	5.745
7/08/2015	8	5.308
7/08/2015	9	6.179
7/08/2015	10	7.444
7/08/2015	11	10.369
7/08/2015	12	9.558
7/08/2015	13	9.78
7/08/2015	14	10.418
7/08/2015	15	9.534
7/08/2015	16	9.238
7/08/2015	17	8.419
7/08/2015	18	6.839
7/08/2015	19	5.334
7/08/2015	20	4.688
7/08/2015	21	3.801
7/08/2015	22	3.459
7/08/2015	23	1.044
8/08/2015	0	0.273
8/08/2015	1	0.907
8/08/2015	2	1.235
8/08/2015	3	1.751
8/08/2015	4	2.101
8/08/2015	5	2.903
8/08/2015	6	2.45
8/08/2015	7	2.503
8/08/2015	8	2.316
8/08/2015	9	3.327
8/08/2015	10	4.506
8/08/2015	11	4.999
8/08/2015	12	7.041
8/08/2015	13	7.645
8/08/2015	14	8.891
8/08/2015	15	7.845
8/08/2015	16	7.995
8/08/2015	17	7.116
8/08/2015	18	4.636
8/08/2015	19	4.584
8/08/2015	20	4.037
8/08/2015	21	4.35
8/08/2015	22	3.67
8/08/2015	23	1.832
9/08/2015	0	0.934
9/08/2015	1	0.329
9/08/2015	2	-0.227
9/08/2015	3	-0.535
9/08/2015	4	-1.157
9/08/2015	5	-1.727
9/08/2015	6	-0.255
9/08/2015	7	-0.143
9/08/2015	8	-0.76
9/08/2015	9	0.907
9/08/2015	10	1.697
9/08/2015	11	3.116
9/08/2015	12	2.477
9/08/2015	13	3.591
9/08/2015	14	6.128
9/08/2015	15	4.376
9/08/2015	16	3.722
9/08/2015	17	2.85
9/08/2015	18	2.557
9/08/2015	19	2.074
9/08/2015	20	1.588
9/08/2015	21	1.262
9/08/2015	22	1.561
9/08/2015	23	1.561
10/08/2015	0	1.805
10/08/2015	1	2.074
10/08/2015	2	1.67
10/08/2015	3	1.859
10/08/2015	4	2.047
10/08/2015	5	1.94
10/08/2015	6	1.859
10/08/2015	7	1.507
10/08/2015	8	2.316
10/08/2015	9	2.557
10/08/2015	10	4.115
10/08/2015	11	5.898
10/08/2015	12	5.179
10/08/2015	13	5.488
10/08/2015	14	6.357
10/08/2015	15	6.914
10/08/2015	16	6.839
10/08/2015	17	6.102
10/08/2015	18	5.462
10/08/2015	19	4.272
10/08/2015	20	3.168
10/08/2015	21	2.477
10/08/2015	22	1.344
10/08/2015	23	0.715
11/08/2015	0	1.126
11/08/2015	1	0.715
11/08/2015	2	-0.004
11/08/2015	3	0.88
11/08/2015	4	1.017
11/08/2015	5	1.044
11/08/2015	6	1.289
11/08/2015	7	1.453
11/08/2015	8	1.289
11/08/2015	9	2.664
11/08/2015	10	4.506
11/08/2015	11	6.585
11/08/2015	12	8.22
11/08/2015	13	8.792
11/08/2015	14	8.469
11/08/2015	15	8.07
11/08/2015	16	7.544
11/08/2015	17	6.484
11/08/2015	18	4.662
11/08/2015	19	3.248
11/08/2015	20	1.643
11/08/2015	21	-0.199
11/08/2015	22	-0.032
11/08/2015	23	0.356
12/08/2015	0	1.48
12/08/2015	1	1.832
12/08/2015	2	1.805
12/08/2015	3	1.615
12/08/2015	4	1.643
12/08/2015	5	1.724
12/08/2015	6	1.778
12/08/2015	7	1.805
12/08/2015	8	2.074
12/08/2015	9	2.903
12/08/2015	10	4.272
12/08/2015	11	5.924
12/08/2015	12	6.484
12/08/2015	13	7.494
12/08/2015	14	7.67
12/08/2015	15	7.393
12/08/2015	16	6.763
12/08/2015	17	5.924
12/08/2015	18	4.688
12/08/2015	19	4.454
12/08/2015	20	4.999
12/08/2015	21	5.565
12/08/2015	22	5.411
12/08/2015	23	5.847
13/08/2015	0	5.796
13/08/2015	1	5.924
13/08/2015	2	6.102
13/08/2015	3	6.458
13/08/2015	4	6.306
13/08/2015	5	6.128
13/08/2015	6	6.331
13/08/2015	7	6.636
13/08/2015	8	6.99
13/08/2015	9	8.369
13/08/2015	10	9.558
13/08/2015	11	10.124
13/08/2015	12	11.321
13/08/2015	13	11.88
13/08/2015	14	12.316
13/08/2015	15	10.565
13/08/2015	16	9.312
13/08/2015	17	9.04
13/08/2015	18	9.854
13/08/2015	19	9.435
13/08/2015	20	9.706
13/08/2015	21	9.731
13/08/2015	22	9.485
13/08/2015	23	10.026
14/08/2015	0	10.026
14/08/2015	1	9.829
14/08/2015	2	9.534
14/08/2015	3	9.78
